加Q群,#genre#
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8#http://stream.qhbtv.com/qhws/sd/live.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
大湾区卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226442/index.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
康巴卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
山东教育卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
哈哈炫动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
金鹰卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
黑莓动画,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
超级体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8

CCTV1,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel1/index.m3u8
CCTV2,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel2/index.m3u8
CCTV3,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel3/index.m3u8
CCTV3,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel41139/index.m3u8
CCTV4,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel4/index.m3u8
CCTV5,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel5/index.m3u8
CCTV5,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel41140/index.m3u8
CCTV5+,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel13/index.m3u8
CCTV6,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel6/index.m3u8
CCTV6,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel41141/index.m3u8
CCTV7,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel7/index.m3u8
CCTV8,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel8/index.m3u8
CCTV8,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel41142/index.m3u8
CCTV9,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel9/index.m3u8
CCTV10,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel10/index.m3u8
CCTV11,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel41/index.m3u8
CCTV12,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel11/index.m3u8
CCTV13,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel39/index.m3u8
CCTV14,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel12/index.m3u8
CCTV15,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel40/index.m3u8
CCTV16,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel116/index.m3u8
CCTV17,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel90/index.m3u8
CGTN,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel15/index.m3u8
CGTN纪录,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel14/index.m3u8
CETV1中教1台,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel33/index.m3u8
CETV4中教4台,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel38/index.m3u8

北京卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel24/index.m3u8
东方卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel26/index.m3u8
天津卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel28/index.m3u8
吉林卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel20/index.m3u8
辽宁卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel32/index.m3u8
陕西卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel55/index.m3u8
安徽卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel23/index.m3u8
湖北卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel21/index.m3u8
湖南卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel25/index.m3u8
江西卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel22/index.m3u8
江苏卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel18/index.m3u8
浙江卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel19/index.m3u8
东南卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel80/index.m3u8
广东卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel16/index.m3u8
深圳卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel17/index.m3u8
大湾区卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel58/index.m3u8
云南卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel61/index.m3u8
四川卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel31/index.m3u8
新疆卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel64/index.m3u8
兵团卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel67/index.m3u8
西藏卫视,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel66/index.m3u8
优漫卡通,http://otvsk.otvstream.otvcloud.com/otv/skcc/live/channel53/index.m3u8
移动专区,#genre#
北京冬奥纪实,http://39.134.66.66/PLTV/88888888/224/3221225670/index.m3u8
北京卡酷少儿,http://39.134.66.66/PLTV/88888888/224/3221225562/index.m3u8
北京卫视,http://39.134.66.66/PLTV/88888888/224/3221225678/index.m3u8
重庆卫视,http://39.134.66.66/PLTV/88888888/224/3221225502/index.m3u8
大庆公共,http://39.134.66.66/PLTV/88888888/224/3221225734/index.m3u8
大庆新闻综合,http://39.134.66.66/PLTV/88888888/224/3221225736/index.m3u8
东方卫视,http://39.134.66.66/PLTV/88888888/224/3221225672/index.m3u8
东南卫视,http://39.134.66.66/PLTV/88888888/224/3221225500/index.m3u8
甘肃卫视,http://39.134.66.66/PLTV/88888888/224/3221225584/index.m3u8
贵州卫视,http://39.134.66.66/PLTV/88888888/224/3221225576/index.m3u8
哈尔滨生活,http://39.134.66.66/PLTV/88888888/224/3221225698/index.m3u8
哈尔滨新闻综合,http://39.134.66.66/PLTV/88888888/224/3221225684/index.m3u8
哈尔滨影视,http://39.134.66.66/PLTV/88888888/224/3221225700/index.m3u8
哈尔滨娱乐,http://39.134.66.66/PLTV/88888888/224/3221225699/index.m3u8
哈尔滨资讯,http://39.134.66.66/PLTV/88888888/224/3221225697/index.m3u8
海南卫视,http://39.134.66.66/PLTV/88888888/224/3221225530/index.m3u8
河北卫视,http://39.134.66.66/PLTV/88888888/224/3221225495/index.m3u8
鹤岗公共,http://39.134.66.66/PLTV/88888888/224/3221225787/index.m3u8
鹤岗新闻综合,http://39.134.66.66/PLTV/88888888/224/3221225785/index.m3u8
黑莓电竞,http://39.134.66.66/PLTV/88888888/224/3221225559/index.m3u8
黑莓电影,http://39.134.66.66/PLTV/88888888/224/3221225681/index.m3u8
黑莓动画,http://39.134.66.66/PLTV/88888888/224/3221225529/index.m3u8
湖北卫视,http://39.134.66.66/PLTV/88888888/224/3221225569/index.m3u8
湖南金鹰卡通,http://39.134.66.66/PLTV/88888888/224/3221225561/index.m3u8
湖南卫视,http://39.134.66.66/PLTV/88888888/224/3221225506/index.m3u8
江苏好享购物,http://39.134.66.66/PLTV/88888888/224/3221225695/index.m3u8
江苏卫视,http://39.134.66.66/PLTV/88888888/224/3221225503/index.m3u8
江苏优漫卡通,http://39.134.66.66/PLTV/88888888/224/3221225556/index.m3u8
辽宁卫视,http://39.134.66.66/PLTV/88888888/224/3221225499/index.m3u8
咪咕视频1,http://39.134.66.66/PLTV/88888888/224/3221225643/index.m3u8
咪咕视频2,http://39.134.66.66/PLTV/88888888/224/3221225648/index.m3u8
咪咕视频3,http://39.134.66.66/PLTV/88888888/224/3221225639/index.m3u8
咪咕视频4,http://39.134.66.66/PLTV/88888888/224/3221225652/index.m3u8
咪咕视频5,http://39.134.66.66/PLTV/88888888/224/3221225647/index.m3u8
咪咕视频6,http://39.134.66.66/PLTV/88888888/224/3221225645/index.m3u8
咪咕视频7,http://39.134.66.66/PLTV/88888888/224/3221225650/index.m3u8
咪咕视频8,http://39.134.66.66/PLTV/88888888/224/3221225641/index.m3u8
咪咕视频9,http://39.134.66.66/PLTV/88888888/224/3221225617/index.m3u8
咪咕视频10,http://39.134.66.66/PLTV/88888888/224/3221225651/index.m3u8
咪咕视频11,http://39.134.66.66/PLTV/88888888/224/3221225619/index.m3u8
咪咕视频12,http://39.134.66.66/PLTV/88888888/224/3221225611/index.m3u8
咪咕视频13,http://39.134.66.66/PLTV/88888888/224/3221225649/index.m3u8
咪咕视频14,http://39.134.66.66/PLTV/88888888/224/3221225620/index.m3u8
咪咕视频15,http://39.134.66.66/PLTV/88888888/224/3221225613/index.m3u8
咪咕视频16,http://39.134.66.66/PLTV/88888888/224/3221225658/index.m3u8
咪咕视频8M1,http://39.134.66.66/PLTV/88888888/224/3221225762/index.m3u8
咪咕视频8M2,http://39.134.66.66/PLTV/88888888/224/3221225749/index.m3u8
咪咕视频8M3,http://39.134.66.66/PLTV/88888888/224/3221225758/index.m3u8
咪咕视频8M4,http://39.134.66.66/PLTV/88888888/224/3221225764/index.m3u8
咪咕视频8M5,http://39.134.66.66/PLTV/88888888/224/3221225747/index.m3u8
咪咕视频8M6,http://39.134.66.66/PLTV/88888888/224/3221225766/index.m3u8
咪咕视频8M7,http://39.134.66.66/PLTV/88888888/224/3221225760/index.m3u8
咪咕视频8M8,http://39.134.66.66/PLTV/88888888/224/3221225756/index.m3u8
咪咕视频8M9,http://39.134.66.66/PLTV/88888888/224/3221225745/index.m3u8
咪咕视频8M10,http://39.134.66.66/PLTV/88888888/224/3221225735/index.m3u8
咪咕视频8M11,http://39.134.66.66/PLTV/88888888/224/3221225741/index.m3u8
咪咕视频8M12,http://39.134.66.66/PLTV/88888888/224/3221225739/index.m3u8
咪咕视频8M13,http://39.134.66.66/PLTV/88888888/224/3221225654/index.m3u8
咪咕视频 30M2160HDR,http://39.134.66.66/PLTV/88888888/224/3221225655/index.m3u8
咪咕直播,http://39.134.66.66/PLTV/88888888/224/3221225782/index.m3u8
内蒙古卫视,http://39.134.66.66/PLTV/88888888/224/3221225577/index.m3u8
宁夏卫视,http://39.134.66.66/PLTV/88888888/224/3221225579/index.m3u8
七台河公共,http://39.134.66.66/PLTV/88888888/224/3221225800/index.m3u8
青海安多卫视,http://39.134.66.66/PLTV/88888888/224/3221225531/index.m3u8
青海卫视,http://39.134.66.66/PLTV/88888888/224/3221225573/index.m3u8
求索动物8M,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8
求索纪录8M,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8
求索科学8M,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8
求索生活8M,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8
山东教育卫视,http://39.134.66.66/PLTV/88888888/224/3221225558/index.m3u8
山西卫视,http://39.134.66.66/PLTV/88888888/224/3221225496/index.m3u8
陕西卫视,http://39.134.66.66/PLTV/88888888/224/3221225567/index.m3u8
上海哈哈炫动,http://39.134.66.66/PLTV/88888888/224/3221225534/index.m3u8
上海纪实人文,http://39.134.66.66/PLTV/88888888/224/3221225673/index.m3u8
深圳卫视,http://39.134.66.66/PLTV/88888888/224/3221225668/index.m3u8
四川康巴卫视,http://39.134.66.66/PLTV/88888888/224/3221225527/index.m3u8
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
西藏卫视,http://39.134.66.66/PLTV/88888888/224/3221225570/index.m3u8
新疆卫视,http://39.134.66.66/PLTV/88888888/224/3221225582/index.m3u8
浙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225514/index.m3u8
中国教育1,http://39.134.66.66/PLTV/88888888/224/3221225563/index.m3u8
CGTN,http://39.134.66.66/PLTV/88888888/224/3221225510/index.m3u8
CGTN纪录,http://39.134.66.66/PLTV/88888888/224/3221225509/index.m3u8
NewTV爱情喜剧,http://39.134.66.66/PLTV/88888888/224/3221225533/index.m3u8
NewTV超级电视剧,http://39.134.66.66/PLTV/88888888/224/3221225637/index.m3u8
NewTV超级电影,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
NewTV超级体育,http://39.134.66.66/PLTV/88888888/224/3221225635/index.m3u8
NewTV超级综艺,http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8
NewTV潮妈辣婆,http://39.134.66.66/PLTV/88888888/224/3221225542/index.m3u8
NewTV东北热剧,http://39.134.66.66/PLTV/88888888/224/3221225679/index.m3u8
NewTV动作电影,http://39.134.66.66/PLTV/88888888/224/3221225555/index.m3u8
